Transaction ID,Customer ID,Product ID,Employee ID,Region ID,Quantity Sold,Discount,Order Date,Price,Total Sales
34,61,33,77,3,3,0.19,2023-01-02 09:00:00,213.71,519.32
35,908,19,90,3,3,0.04,2023-01-02 10:00:00,88.61,255.2
36,941,43,10,2,16,0.27,2023-01-02 11:00:00,427.02,4987.59
37,677,46,90,5,7,0.25,2023-01-02 12:00:00,301.92,1585.08
38,436,32,94,4,2,0.16,2023-01-02 13:00:00,213.36,358.44
39,803,37,14,4,4,0.15,2023-01-02 14:00:00,355.87,1209.96
40,409,13,15,2,17,0.02,2023-01-02 15:00:00,307.99,5131.11
41,327,26,77,5,6,0.12,2023-01-02 16:00:00,277.17,1463.46
42,707,50,75,1,15,0.17,2023-01-02 17:00:00,185.38,2307.98
43,248,22,83,4,14,0.29,2023-01-02 18:00:00,211.47,2102.01
44,318,38,23,4,18,0.2,2023-01-02 19:00:00,312.42,4498.85
45,858,31,72,2,17,0.0,2023-01-02 20:00:00,290.56,4939.52
46,981,33,20,1,3,0.22,2023-01-02 21:00:00,213.71,500.08
47,638,1,63,5,10,0.27,2023-01-02 22:00:00,329.11,2402.5
48,690,37,93,5,5,0.24,2023-01-02 23:00:00,355.87,1352.31
49,112,22,100,5,6,0.29,2023-01-03 00:00:00,211.47,900.86
50,284,34,94,1,7,0.1,2023-01-03 01:00:00,146.75,924.52
51,368,7,96,5,15,0.26,2023-01-03 02:00:00,279.15,3098.56
52,2,7,94,2,15,0.01,2023-01-03 03:00:00,279.15,4145.38
53,683,45,48,2,14,0.23,2023-01-03 04:00:00,216.82,2337.32
54,202,11,67,5,12,0.23,2023-01-03 05:00:00,223.35,2063.75
55,967,5,59,2,18,0.16,2023-01-03 06:00:00,136.62,2065.69
56,930,42,65,4,3,0.08,2023-01-03 07:00:00,188.45,520.12
57,508,31,91,2,9,0.15,2023-01-03 08:00:00,290.56,2222.78
58,643,25,31,3,16,0.24,2023-01-03 09:00:00,159.53,1939.88
59,918,38,66,4,17,0.23,2023-01-03 10:00:00,312.42,4089.58
60,152,49,7,5,6,0.16,2023-01-03 11:00:00,241.31,1216.2
61,734,1,10,1,19,0.29,2023-01-03 12:00:00,329.11,4439.69
62,892,2,61,2,10,0.06,2023-01-03 13:00:00,185.03,1739.28
63,764,27,4,5,6,0.1,2023-01-03 14:00:00,351.26,1896.8
64,786,20,38,3,6,0.08,2023-01-03 15:00:00,176.94,976.71
65,254,40,70,2,12,0.15,2023-01-03 16:00:00,341.62,3484.52
66,761,9,40,2,5,0.3,2023-01-03 17:00:00,409.39,1432.86
67,749,19,42,2,14,0.08,2023-01-03 18:00:00,88.61,1141.3
68,61,35,73,5,9,0.23,2023-01-03 19:00:00,158.42,1097.85
69,383,4,82,3,7,0.22,2023-01-03 20:00:00,152.04,830.14
70,6,27,89,5,19,0.19,2023-01-03 21:00:00,351.26,5405.89
71,248,16,24,5,12,0.25,2023-01-03 22:00:00,35.93,323.37
72,565,25,63,1,18,0.06,2023-01-03 23:00:00,159.53,2699.25
73,916,40,33,5,5,0.25,2023-01-04 00:00:00,341.62,1281.07
74,81,3,24,1,5,0.16,2023-01-04 01:00:00,184.26,773.89
75,368,23,6,1,1,0.23,2023-01-04 02:00:00,387.26,298.19
76,45,32,80,2,8,0.14,2023-01-04 03:00:00,213.36,1467.92
77,142,42,32,3,12,0.2,2023-01-04 04:00:00,188.45,1809.12
78,164,21,87,5,7,0.17,2023-01-04 05:00:00,383.66,2229.06
79,694,22,74,1,12,0.1,2023-01-04 06:00:00,211.47,2283.88
80,605,41,83,4,13,0.22,2023-01-04 07:00:00,211.44,2144.0
81,745,39,22,2,4,0.18,2023-01-04 08:00:00,462.54,1517.13
82,66,13,72,3,11,0.24,2023-01-04 09:00:00,307.99,2574.8
83,670,49,67,2,7,0.06,2023-01-04 10:00:00,241.31,1587.82
84,57,30,24,1,13,0.01,2023-01-04 11:00:00,63.04,811.32
85,322,5,88,4,2,0.21,2023-01-04 12:00:00,136.62,215.86
86,336,8,86,5,9,0.09,2023-01-04 13:00:00,285.26,2336.28
87,620,9,86,1,2,0.22,2023-01-04 14:00:00,409.39,638.65
88,987,39,73,4,2,0.04,2023-01-04 15:00:00,462.54,888.08
89,530,19,92,3,14,0.18,2023-01-04 16:00:00,88.61,1017.24
90,901,43,39,4,13,0.29,2023-01-04 17:00:00,427.02,3941.39
91,715,4,65,3,6,0.15,2023-01-04 18:00:00,152.04,775.4
92,835,5,95,2,19,0.18,2023-01-04 19:00:00,136.62,2128.54
93,473,14,49,3,11,0.14,2023-01-04 20:00:00,317.01,2998.91
94,633,2,67,3,3,0.01,2023-01-04 21:00:00,185.03,549.54
95,249,40,71,1,17,0.02,2023-01-04 22:00:00,341.62,5691.39
96,712,23,63,1,17,0.06,2023-01-04 23:00:00,387.26,6188.41
97,414,4,71,4,9,0.23,2023-01-05 00:00:00,152.04,1053.64
98,749,28,1,1,4,0.14,2023-01-05 01:00:00,382.85,1317.0
99,825,7,34,5,6,0.21,2023-01-05 02:00:00,279.15,1323.17
100,572,19,36,5,3,0.3,2023-01-05 03:00:00,88.61,186.08
101,209,3,21,3,1,0.2,2023-01-05 04:00:00,184.26,147.41
102,571,14,72,1,5,0.23,2023-01-05 05:00:00,317.01,1220.49
103,750,32,35,5,7,0.13,2023-01-05 06:00:00,213.36,1299.36
104,544,7,78,5,5,0.16,2023-01-05 07:00:00,279.15,1172.43
105,781,16,90,5,3,0.09,2023-01-05 08:00:00,35.93,98.09
106,923,37,88,2,15,0.01,2023-01-05 09:00:00,355.87,5284.67
107,209,42,14,3,17,0.24,2023-01-05 10:00:00,188.45,2434.77
108,617,34,62,2,15,0.28,2023-01-05 11:00:00,146.75,1584.9
109,119,38,16,1,7,0.01,2023-01-05 12:00:00,312.42,2165.07
110,701,13,65,5,8,0.09,2023-01-05 13:00:00,307.99,2242.17
111,909,3,49,5,4,0.06,2023-01-05 14:00:00,184.26,692.82
112,255,15,43,2,9,0.13,2023-01-05 15:00:00,60.03,470.03
113,956,8,8,1,14,0.22,2023-01-05 16:00:00,285.26,3115.04
114,57,25,55,2,11,0.09,2023-01-05 17:00:00,159.53,1596.9
115,462,11,12,2,3,0.16,2023-01-05 18:00:00,223.35,562.84
116,522,29,58,2,1,0.08,2023-01-05 19:00:00,322.28,296.5
117,915,7,54,5,13,0.01,2023-01-05 20:00:00,279.15,3592.66
118,412,8,28,4,9,0.06,2023-01-05 21:00:00,285.26,2413.3
119,456,33,24,4,10,0.0,2023-01-05 22:00:00,213.71,2137.1
120,150,3,21,2,7,0.12,2023-01-05 23:00:00,184.26,1135.04
121,411,13,23,2,5,0.08,2023-01-06 00:00:00,307.99,1416.75
122,192,41,20,3,2,0.01,2023-01-06 01:00:00,211.44,418.65
123,921,25,75,1,9,0.08,2023-01-06 02:00:00,159.53,1320.91
124,524,21,14,2,11,0.06,2023-01-06 03:00:00,383.66,3967.04
125,261,10,82,2,14,0.21,2023-01-06 04:00:00,402.58,4452.53
126,955,14,63,5,8,0.12,2023-01-06 05:00:00,317.01,2231.75
127,879,45,17,2,6,0.04,2023-01-06 06:00:00,216.82,1248.88
128,646,41,36,3,18,0.22,2023-01-06 07:00:00,211.44,2968.62
129,867,36,83,5,19,0.19,2023-01-06 08:00:00,387.14,5958.08
130,34,26,50,5,14,0.26,2023-01-06 09:00:00,277.17,2871.48
131,758,33,41,5,18,0.22,2023-01-06 10:00:00,213.71,3000.49
132,980,40,36,3,19,0.01,2023-01-06 11:00:00,341.62,6425.87
133,976,40,67,1,14,0.28,2023-01-06 12:00:00,341.62,3443.53
134,68,20,48,4,13,0.26,2023-01-06 13:00:00,176.94,1702.16
135,135,46,40,4,1,0.23,2023-01-06 14:00:00,301.92,232.48
136,596,25,60,4,1,0.15,2023-01-06 15:00:00,159.53,135.6
137,311,41,97,1,17,0.12,2023-01-06 16:00:00,211.44,3163.14
138,269,39,67,5,2,0.23,2023-01-06 17:00:00,462.54,712.31
139,444,16,13,5,1,0.03,2023-01-06 18:00:00,35.93,34.85
140,364,23,8,4,17,0.19,2023-01-06 19:00:00,387.26,5332.57
141,618,10,57,5,5,0.15,2023-01-06 20:00:00,402.58,1710.96
142,999,13,50,5,11,0.23,2023-01-06 21:00:00,307.99,2608.68
143,155,34,21,2,17,0.21,2023-01-06 22:00:00,146.75,1970.85
144,285,49,32,2,2,0.21,2023-01-06 23:00:00,241.31,381.27
145,260,45,96,2,9,0.1,2023-01-07 00:00:00,216.82,1756.24
146,967,16,52,2,2,0.02,2023-01-07 01:00:00,35.93,70.42
147,366,5,50,3,19,0.27,2023-01-07 02:00:00,136.62,1894.92
148,535,7,31,3,2,0.04,2023-01-07 03:00:00,279.15,535.97
149,180,40,25,2,5,0.15,2023-01-07 04:00:00,341.62,1451.88
150,325,28,47,1,7,0.13,2023-01-07 05:00:00,382.85,2331.56
151,271,1,78,1,10,0.21,2023-01-07 06:00:00,329.11,2599.97
152,755,22,47,4,14,0.13,2023-01-07 07:00:00,211.47,2575.7
153,920,28,63,2,15,0.25,2023-01-07 08:00:00,382.85,4307.06
154,101,33,64,5,8,0.1,2023-01-07 09:00:00,213.71,1538.71
155,552,6,87,1,9,0.19,2023-01-07 10:00:00,313.8,2287.6
156,268,15,12,5,2,0.07,2023-01-07 11:00:00,60.03,111.66
157,553,29,58,1,19,0.29,2023-01-07 12:00:00,322.28,4347.56
158,218,18,67,5,8,0.28,2023-01-07 13:00:00,160.21,922.81
159,674,39,85,1,2,0.08,2023-01-07 14:00:00,462.54,851.07
160,425,2,66,3,4,0.15,2023-01-07 15:00:00,185.03,629.1
161,973,2,51,1,16,0.09,2023-01-07 16:00:00,185.03,2694.04
162,923,37,55,1,9,0.19,2023-01-07 17:00:00,355.87,2594.29
163,247,36,87,2,17,0.06,2023-01-07 18:00:00,387.14,6186.5
164,992,40,48,5,10,0.08,2023-01-07 19:00:00,341.62,3142.9
165,492,10,34,3,17,0.17,2023-01-07 20:00:00,402.58,5680.4
166,333,12,96,3,17,0.29,2023-01-07 21:00:00,363.21,4383.94
167,912,37,54,4,8,0.08,2023-01-07 22:00:00,355.87,2619.2
168,687,34,13,5,17,0.29,2023-01-07 23:00:00,146.75,1771.27
169,441,27,94,5,11,0.07,2023-01-08 00:00:00,351.26,3593.39
170,380,8,10,4,12,0.23,2023-01-08 01:00:00,285.26,2635.8
171,592,35,58,5,9,0.23,2023-01-08 02:00:00,158.42,1097.85
172,723,45,59,2,9,0.09,2023-01-08 03:00:00,216.82,1775.76
173,511,8,92,5,14,0.12,2023-01-08 04:00:00,285.26,3514.4
174,205,32,57,4,3,0.29,2023-01-08 05:00:00,213.36,454.46
175,791,3,98,1,5,0.08,2023-01-08 06:00:00,184.26,847.6
176,718,43,93,2,6,0.02,2023-01-08 07:00:00,427.02,2510.88
177,323,44,80,3,1,0.13,2023-01-08 08:00:00,168.57,146.66
178,371,16,58,2,2,0.06,2023-01-08 09:00:00,35.93,67.55
179,608,6,66,3,5,0.13,2023-01-08 10:00:00,313.8,1365.03
180,102,40,30,2,4,0.04,2023-01-08 11:00:00,341.62,1311.82
181,216,39,97,5,7,0.16,2023-01-08 12:00:00,462.54,2719.74
182,721,13,65,4,2,0.3,2023-01-08 13:00:00,307.99,431.19
183,171,33,36,2,7,0.19,2023-01-08 14:00:00,213.71,1211.74
184,170,30,86,5,9,0.14,2023-01-08 15:00:00,63.04,487.93
185,816,9,53,3,10,0.29,2023-01-08 16:00:00,409.39,2906.67
186,79,44,79,3,12,0.02,2023-01-08 17:00:00,168.57,1982.38
187,296,31,95,2,12,0.02,2023-01-08 18:00:00,290.56,3416.99
188,171,23,2,1,8,0.19,2023-01-08 19:00:00,387.26,2509.44
189,637,31,32,5,4,0.02,2023-01-08 20:00:00,290.56,1139.0
190,919,37,13,4,2,0.01,2023-01-08 21:00:00,355.87,704.62
191,350,11,11,1,1,0.25,2023-01-08 22:00:00,223.35,167.51
192,371,31,2,3,7,0.23,2023-01-08 23:00:00,290.56,1566.12
193,223,15,36,3,7,0.07,2023-01-09 00:00:00,60.03,390.8
194,853,8,26,5,18,0.11,2023-01-09 01:00:00,285.26,4569.87
195,312,10,52,1,7,0.11,2023-01-09 02:00:00,402.58,2508.07
196,712,13,93,4,18,0.19,2023-01-09 03:00:00,307.99,4490.49
197,389,19,2,5,7,0.18,2023-01-09 04:00:00,88.61,508.62
198,495,27,17,3,15,0.14,2023-01-09 05:00:00,351.26,4531.25
199,704,28,100,5,4,0.26,2023-01-09 06:00:00,382.85,1133.24
200,957,2,11,4,1,0.1,2023-01-09 07:00:00,185.03,166.53
201,252,6,100,3,13,0.18,2023-01-09 08:00:00,313.8,3345.11
202,812,3,7,4,10,0.2,2023-01-09 09:00:00,184.26,1474.08
203,456,6,10,4,1,0.24,2023-01-09 10:00:00,313.8,238.49
204,725,15,52,5,19,0.11,2023-01-09 11:00:00,60.03,1015.11
205,66,8,63,5,13,0.28,2023-01-09 12:00:00,285.26,2670.03
206,49,19,48,3,1,0.14,2023-01-09 13:00:00,88.61,76.2
207,576,8,32,2,12,0.22,2023-01-09 14:00:00,285.26,2670.03
208,314,16,36,1,16,0.28,2023-01-09 15:00:00,35.93,413.91
209,740,11,20,1,7,0.27,2023-01-09 16:00:00,223.35,1141.32
210,525,17,46,4,8,0.14,2023-01-09 17:00:00,165.9,1141.39
211,577,1,15,3,11,0.24,2023-01-09 18:00:00,329.11,2751.36
212,852,35,72,3,2,0.09,2023-01-09 19:00:00,158.42,288.32
213,650,29,47,1,14,0.28,2023-01-09 20:00:00,322.28,3248.58
214,897,9,56,5,7,0.2,2023-01-09 21:00:00,409.39,2292.58
215,585,34,23,5,4,0.17,2023-01-09 22:00:00,146.75,487.21
216,591,29,83,1,9,0.29,2023-01-09 23:00:00,322.28,2059.37
217,450,7,61,4,16,0.16,2023-01-10 00:00:00,279.15,3751.78
218,249,38,41,4,6,0.26,2023-01-10 01:00:00,312.42,1387.14
219,495,14,88,1,19,0.05,2023-01-10 02:00:00,317.01,5722.03
220,236,43,7,4,5,0.09,2023-01-10 03:00:00,427.02,1942.94
221,371,1,78,1,10,0.21,2023-01-10 04:00:00,329.11,2599.97
222,752,34,78,3,16,0.29,2023-01-10 05:00:00,146.75,1667.08
223,458,21,44,1,10,0.03,2023-01-10 06:00:00,383.66,3721.5
224,975,30,57,1,19,0.12,2023-01-10 07:00:00,63.04,1054.03
225,126,44,46,3,11,0.08,2023-01-10 08:00:00,168.57,1705.93
226,499,29,75,1,2,0.06,2023-01-10 09:00:00,322.28,605.89
227,589,34,70,2,17,0.19,2023-01-10 10:00:00,146.75,2020.75
228,111,45,20,3,8,0.27,2023-01-10 11:00:00,216.82,1266.23
229,629,45,87,3,8,0.2,2023-01-10 12:00:00,216.82,1387.65
230,588,50,12,3,5,0.27,2023-01-10 13:00:00,185.38,676.64
231,982,49,74,5,18,0.26,2023-01-10 14:00:00,241.31,3214.25
232,992,19,57,1,18,0.12,2023-01-10 15:00:00,88.61,1403.58
233,872,8,55,3,10,0.18,2023-01-10 16:00:00,285.26,2339.13
234,743,6,11,1,9,0.06,2023-01-10 17:00:00,313.8,2654.75
235,304,29,12,4,10,0.17,2023-01-10 18:00:00,322.28,2674.92
236,500,49,47,3,10,0.19,2023-01-10 19:00:00,241.31,1954.61
237,524,19,94,3,5,0.11,2023-01-10 20:00:00,88.61,394.31
238,594,11,11,3,7,0.05,2023-01-10 21:00:00,223.35,1485.28
239,248,25,9,1,19,0.0,2023-01-10 22:00:00,159.53,3031.07
240,340,24,84,1,2,0.26,2023-01-10 23:00:00,398.82,590.25
241,750,35,75,3,5,0.26,2023-01-11 00:00:00,158.42,586.15
242,381,12,66,5,12,0.03,2023-01-11 01:00:00,363.21,4227.76
243,654,36,79,2,18,0.21,2023-01-11 02:00:00,387.14,5505.13
244,918,50,31,2,3,0.22,2023-01-11 03:00:00,185.38,433.79
245,259,23,42,4,15,0.27,2023-01-11 04:00:00,387.26,4240.5
246,672,39,15,2,9,0.21,2023-01-11 05:00:00,462.54,3288.66
247,137,27,18,4,4,0.3,2023-01-11 06:00:00,351.26,983.53
248,988,3,80,3,14,0.02,2023-01-11 07:00:00,184.26,2528.05
249,893,42,83,5,17,0.04,2023-01-11 08:00:00,188.45,3075.5
250,675,15,99,1,12,0.09,2023-01-11 09:00:00,60.03,655.53
251,313,49,90,2,13,0.06,2023-01-11 10:00:00,241.31,2948.81
252,811,31,44,4,1,0.22,2023-01-11 11:00:00,290.56,226.64
253,364,27,82,1,1,0.25,2023-01-11 12:00:00,351.26,263.44
254,403,34,31,5,19,0.22,2023-01-11 13:00:00,146.75,2174.84
255,233,21,97,4,16,0.1,2023-01-11 14:00:00,383.66,5524.7
256,913,2,16,5,9,0.28,2023-01-11 15:00:00,185.03,1198.99
257,177,41,37,3,10,0.11,2023-01-11 16:00:00,211.44,1881.82
258,730,23,8,4,3,0.26,2023-01-11 17:00:00,387.26,859.72
259,555,48,54,4,9,0.18,2023-01-11 18:00:00,451.86,3334.73
260,96,16,18,5,16,0.12,2023-01-11 19:00:00,35.93,505.89
261,624,31,24,4,12,0.12,2023-01-11 20:00:00,290.56,3068.31
262,980,30,17,5,11,0.22,2023-01-11 21:00:00,63.04,540.88
263,311,38,76,1,5,0.03,2023-01-11 22:00:00,312.42,1515.24
264,613,30,81,2,8,0.01,2023-01-11 23:00:00,63.04,499.28
265,134,10,28,3,7,0.1,2023-01-12 00:00:00,402.58,2536.25
266,827,32,74,1,11,0.22,2023-01-12 01:00:00,213.36,1830.63
267,329,14,12,4,4,0.14,2023-01-12 02:00:00,317.01,1090.51
268,27,22,53,2,2,0.05,2023-01-12 03:00:00,211.47,401.79
269,53,28,61,1,17,0.09,2023-01-12 04:00:00,382.85,5922.69
270,567,49,24,2,14,0.3,2023-01-12 05:00:00,241.31,2364.84
271,663,50,4,4,2,0.19,2023-01-12 06:00:00,185.38,300.32
272,52,33,25,3,5,0.0,2023-01-12 07:00:00,213.71,1068.55
273,599,44,28,5,2,0.16,2023-01-12 08:00:00,168.57,283.2
274,925,14,56,3,10,0.21,2023-01-12 09:00:00,317.01,2504.38
275,625,28,81,5,7,0.29,2023-01-12 10:00:00,382.85,1902.76
276,501,33,46,2,16,0.24,2023-01-12 11:00:00,213.71,2598.71
277,877,43,1,5,14,0.09,2023-01-12 12:00:00,427.02,5440.23
278,289,7,30,4,6,0.13,2023-01-12 13:00:00,279.15,1457.16
279,878,20,56,2,12,0.27,2023-01-12 14:00:00,176.94,1549.99
280,259,19,85,2,1,0.15,2023-01-12 15:00:00,88.61,75.32
281,27,9,70,3,1,0.08,2023-01-12 16:00:00,409.39,376.64
282,899,13,50,2,18,0.2,2023-01-12 17:00:00,307.99,4435.06
283,437,46,6,3,3,0.21,2023-01-12 18:00:00,301.92,715.55
284,104,15,49,5,6,0.02,2023-01-12 19:00:00,60.03,352.98
285,947,50,3,5,9,0.13,2023-01-12 20:00:00,185.38,1451.53
286,252,13,6,4,11,0.23,2023-01-12 21:00:00,307.99,2608.68
287,439,35,16,4,10,0.06,2023-01-12 22:00:00,158.42,1489.15
288,642,26,86,3,13,0.3,2023-01-12 23:00:00,277.17,2522.25
289,599,8,14,4,1,0.29,2023-01-13 00:00:00,285.26,202.53
290,761,19,65,2,16,0.1,2023-01-13 01:00:00,88.61,1275.98
291,670,40,55,4,14,0.1,2023-01-13 02:00:00,341.62,4304.41
292,994,7,94,1,12,0.09,2023-01-13 03:00:00,279.15,3048.32
293,42,13,44,2,1,0.17,2023-01-13 04:00:00,307.99,255.63
294,458,6,1,5,12,0.11,2023-01-13 05:00:00,313.8,3351.38
295,808,15,92,4,1,0.12,2023-01-13 06:00:00,60.03,52.83
296,280,26,46,2,17,0.24,2023-01-13 07:00:00,277.17,3581.04
297,757,50,68,5,6,0.17,2023-01-13 08:00:00,185.38,923.19
298,397,10,75,4,19,0.0,2023-01-13 09:00:00,402.58,7649.02
299,800,13,84,2,17,0.04,2023-01-13 10:00:00,307.99,5026.4
300,288,42,81,5,18,0.08,2023-01-13 11:00:00,188.45,3120.73
301,892,6,71,3,16,0.08,2023-01-13 12:00:00,313.8,4619.14
302,1,39,91,2,19,0.01,2023-01-13 13:00:00,462.54,8700.38
303,570,40,96,3,9,0.15,2023-01-13 14:00:00,341.62,2613.39
304,197,17,15,4,15,0.2,2023-01-13 15:00:00,165.9,1990.8
305,769,43,1,4,15,0.29,2023-01-13 16:00:00,427.02,4547.76
306,524,41,63,1,5,0.14,2023-01-13 17:00:00,211.44,909.19
307,109,45,25,1,11,0.07,2023-01-13 18:00:00,216.82,2218.07
308,578,15,2,4,2,0.03,2023-01-13 19:00:00,60.03,116.46
309,502,26,54,4,4,0.22,2023-01-13 20:00:00,277.17,864.77
310,300,1,51,5,2,0.25,2023-01-13 21:00:00,329.11,493.66
311,496,28,42,3,4,0.12,2023-01-13 22:00:00,382.85,1347.63
312,812,16,81,3,13,0.29,2023-01-13 23:00:00,35.93,331.63
313,294,15,6,4,19,0.08,2023-01-14 00:00:00,60.03,1049.32
314,917,2,19,5,4,0.18,2023-01-14 01:00:00,185.03,606.9
315,117,20,34,3,13,0.18,2023-01-14 02:00:00,176.94,1886.18
316,101,48,95,2,3,0.18,2023-01-14 03:00:00,451.86,1111.58
317,617,14,5,5,5,0.19,2023-01-14 04:00:00,317.01,1283.89
318,372,45,99,3,17,0.24,2023-01-14 05:00:00,216.82,2801.31
319,581,8,58,4,3,0.17,2023-01-14 06:00:00,285.26,710.3
320,865,34,85,4,12,0.26,2023-01-14 07:00:00,146.75,1303.14
321,524,24,71,2,16,0.14,2023-01-14 08:00:00,398.82,5487.76
322,851,21,44,2,11,0.06,2023-01-14 09:00:00,383.66,3967.04
323,752,37,54,4,7,0.05,2023-01-14 10:00:00,355.87,2366.54
324,81,27,45,2,12,0.21,2023-01-14 11:00:00,351.26,3329.94
325,964,36,94,3,11,0.07,2023-01-14 12:00:00,387.14,3960.44
326,216,14,20,3,19,0.13,2023-01-14 13:00:00,317.01,5240.18
327,306,16,53,1,12,0.24,2023-01-14 14:00:00,35.93,327.68
328,773,18,13,2,1,0.27,2023-01-14 15:00:00,160.21,116.95
329,74,27,74,2,17,0.09,2023-01-14 16:00:00,351.26,5433.99
330,508,46,88,5,12,0.03,2023-01-14 17:00:00,301.92,3514.35
331,458,8,37,5,5,0.15,2023-01-14 18:00:00,285.26,1212.36
332,825,22,17,4,16,0.17,2023-01-14 19:00:00,211.47,2808.32
333,32,13,88,1,18,0.23,2023-01-14 20:00:00,307.99,4268.74
334,213,33,32,5,4,0.0,2023-01-14 21:00:00,213.71,854.84
335,493,36,62,4,13,0.08,2023-01-14 22:00:00,387.14,4630.19
336,579,33,82,5,19,0.23,2023-01-14 23:00:00,213.71,3126.58
337,301,1,43,5,12,0.01,2023-01-15 00:00:00,329.11,3909.83
338,670,48,14,1,15,0.1,2023-01-15 01:00:00,451.86,6100.11
339,378,18,41,2,7,0.12,2023-01-15 02:00:00,160.21,986.89
340,199,6,97,5,16,0.1,2023-01-15 03:00:00,313.8,4518.72
341,874,16,36,3,5,0.15,2023-01-15 04:00:00,35.93,152.7
342,998,36,21,2,6,0.21,2023-01-15 05:00:00,387.14,1835.04
343,847,8,51,4,13,0.17,2023-01-15 06:00:00,285.26,3077.96
344,307,44,63,4,15,0.21,2023-01-15 07:00:00,168.57,1997.55
345,700,39,42,3,6,0.1,2023-01-15 08:00:00,462.54,2497.72
346,38,11,76,5,8,0.07,2023-01-15 09:00:00,223.35,1661.72
347,684,24,6,5,11,0.14,2023-01-15 10:00:00,398.82,3772.84
348,97,42,14,3,11,0.25,2023-01-15 11:00:00,188.45,1554.71
349,560,5,95,3,8,0.06,2023-01-15 12:00:00,136.62,1027.38
350,862,46,49,4,11,0.08,2023-01-15 13:00:00,301.92,3055.43
351,556,20,100,3,19,0.08,2023-01-15 14:00:00,176.94,3092.91
352,35,49,96,5,9,0.22,2023-01-15 15:00:00,241.31,1694.0
353,781,14,16,1,15,0.14,2023-01-15 16:00:00,317.01,4089.43
354,771,31,83,4,11,0.2,2023-01-15 17:00:00,290.56,2556.93
355,969,30,84,5,4,0.12,2023-01-15 18:00:00,63.04,221.9
356,49,32,99,1,12,0.26,2023-01-15 19:00:00,213.36,1894.64
357,557,31,72,3,13,0.19,2023-01-15 20:00:00,290.56,3059.6
358,677,24,94,1,9,0.16,2023-01-15 21:00:00,398.82,3015.08
359,855,11,41,4,11,0.14,2023-01-15 22:00:00,223.35,2112.89
360,451,22,19,5,8,0.05,2023-01-15 23:00:00,211.47,1607.17
361,460,42,69,1,10,0.21,2023-01-16 00:00:00,188.45,1488.76
362,238,1,2,1,11,0.28,2023-01-16 01:00:00,329.11,2606.55
363,485,14,77,2,1,0.2,2023-01-16 02:00:00,317.01,253.61
364,134,13,73,2,1,0.28,2023-01-16 03:00:00,307.99,221.75
365,552,3,3,2,4,0.11,2023-01-16 04:00:00,184.26,655.97
366,793,28,78,4,1,0.22,2023-01-16 05:00:00,382.85,298.62
367,510,33,97,5,18,0.28,2023-01-16 06:00:00,213.71,2769.68
368,514,7,89,4,5,0.16,2023-01-16 07:00:00,279.15,1172.43
